text,label
"Olá, estou com dificuldades para acessar o sistema. Poderiam me ajudar a recuperar minha senha?",produtivo
"Preciso de informações sobre o andamento do chamado #4521, aberto na semana passada.",produtivo
Favor confirmar se a atualização do sistema já foi concluída.,produtivo
Estou com dúvidas sobre como gerar o relatório financeiro mensal. Podem me orientar?,produtivo
Solicito a criação de um novo usuário com perfil de administrador para o sistema.,produtivo
Quando será liberada a nova versão do aplicativo? Preciso testar com meu time.,produtivo
Recebi um erro ao tentar enviar arquivos pelo sistema. Podem verificar?,produtivo
Gostaria de agendar uma reunião para revisar os requisitos do projeto.,produtivo
Poderiam atualizar o status do ticket #998? Ainda não obtive retorno.,produtivo
Necessito de suporte para configurar o acesso remoto da minha conta.,produtivo
Parabéns pela excelente apresentação de ontem!,improdutivo
Muito obrigado pela ajuda prestada no chamado anterior.,improdutivo
Feliz aniversário! Desejo muito sucesso e saúde.,improdutivo
"Bom dia a todos, tenham uma ótima semana!",improdutivo
Agradeço a atenção de todos durante a reunião de ontem.,improdutivo
Desejo boas festas e um próspero ano novo para toda a equipe.,improdutivo
Foi um prazer participar do evento organizado pela empresa.,improdutivo
Obrigado pelo rápido retorno no e-mail anterior.,improdutivo
Parabéns pela conquista da certificação!,improdutivo
Desejo sucesso no novo projeto que vocês estão iniciando.,improdutivo
"Por favor, encaminhem a planilha atualizada com os resultados do último trimestre.",produtivo
Poderiam liberar meu acesso ao sistema de relatórios? Estou sem permissão.,produtivo
Necessito que atualizem meu cadastro com o novo endereço da empresa.,produtivo
Podem verificar porque não estou conseguindo finalizar a compra no portal?,produtivo
Solicito orientação para integrar a API do sistema com minha aplicação.,produtivo
Ainda não recebi retorno sobre a proposta enviada. Podem confirmar o status?,produtivo
Favor revisar os documentos anexos e retornar com aprovação.,produtivo
Há previsão para a manutenção agendada no servidor?,produtivo
O relatório que recebi apresenta erros nos valores. Podem corrigir?,produtivo
Podem agendar um treinamento sobre a nova funcionalidade do sistema?,produtivo
Preciso de suporte para reinstalar o software após a troca de máquina.,produtivo
Poderiam me enviar a nota fiscal referente à última compra?,produtivo
Solicito confirmação da data da entrega do material solicitado.,produtivo
"Por favor, atualizem minha senha temporária, não estou conseguindo acessar.",produtivo
Gostaria de solicitar um relatório detalhado sobre as vendas do último mês.,produtivo
Gostaria de agradecer a todos pela colaboração durante o projeto.,improdutivo
Foi ótimo participar do encontro da equipe ontem.,improdutivo
Parabéns pelo excelente trabalho desenvolvido até aqui!,improdutivo
Desejo sucesso na nova etapa do projeto de vocês.,improdutivo
Muito obrigado pela oportunidade de participar da reunião.,improdutivo
Bom descanso a todos após a intensa semana de trabalho!,improdutivo
Agradeço novamente pela ajuda no processo anterior.,improdutivo
Parabéns pelo resultado alcançado no trimestre!,improdutivo
Foi muito bom conhecer vocês durante o evento.,improdutivo
Desejo um excelente final de semana para toda a equipe.,improdutivo
"Obrigado pelo envio do convite, infelizmente não poderei participar.",improdutivo
Parabéns pelo sucesso da campanha lançada!,improdutivo
Agradeço imensamente o apoio que recebi durante a atividade.,improdutivo
Desejo um ótimo feriado para todos!,improdutivo
Foi muito enriquecedor participar do treinamento com vocês.,improdutivo
Gostaria de agendar uma reunião.,produtivo
Podem me ajudar com erro no login?,produtivo
Preciso de suporte para atualizar o cadastro.,produtivo
Necessito atualização sobre o chamado em aberto.,produtivo
Podem me ajudar com lentidão do sistema?,produtivo
Favor confirmar a data da reunião.,produtivo
Podem revisar o contrato assinado?,produtivo
Existe previsão para atualizar o cadastro?,produtivo
Necessito atualização sobre a integração com a API.,produtivo
O sistema apresentou inconsistência nos dados. Podem verificar?,produtivo
Podem me ajudar com erro no login?,produtivo
Podem me ajudar com falha no envio de e-mails?,produtivo
O sistema apresentou erro 500. Podem verificar?,produtivo
Solicito configurar o acesso referente ao pedido #998.,produtivo
Podem revisar o contrato assinado?,produtivo
Podem revisar a nota fiscal?,produtivo
Favor confirmar se os arquivos foram recebidos.,produtivo
Existe previsão para configurar o acesso?,produtivo
Ainda não recebi a nota fiscal. Podem enviar novamente?,produtivo
O sistema apresentou erro 500. Podem verificar?,produtivo
Solicito configurar o acesso referente ao pedido #998.,produtivo
O sistema apresentou queda de conexão. Podem verificar?,produtivo
Ainda não recebi a nota fiscal. Podem enviar novamente?,produtivo
Existe previsão para resetar a senha?,produtivo
Ainda não recebi a nota fiscal. Podem enviar novamente?,produtivo
Favor confirmar se os arquivos foram recebidos.,produtivo
Solicito instalar o software referente ao chamado técnico.,produtivo
Podem revisar o comprovante de pagamento?,produtivo
Favor confirmar se o pagamento foi processado.,produtivo
O sistema apresentou inconsistência nos dados. Podem verificar?,produtivo
Podem revisar o contrato assinado?,produtivo
Necessito atualização sobre o andamento do projeto.,produtivo
O sistema apresentou inconsistência nos dados. Podem verificar?,produtivo
Necessito atualização sobre o andamento do projeto.,produtivo
Necessito atualização sobre a integração com a API.,produtivo
Existe previsão para configurar o acesso?,produtivo
Solicito instalar o software referente ao cadastro de cliente.,produtivo
Necessito atualização sobre a atualização do sistema.,produtivo
Favor confirmar a data da reunião.,produtivo
O sistema apresentou inconsistência nos dados. Podem verificar?,produtivo
Preciso de suporte para configurar o acesso.,produtivo
O sistema apresentou erro 500. Podem verificar?,produtivo
Gostaria de agendar um treinamento.,produtivo
Podem revisar o contrato assinado?,produtivo
Gostaria de agendar uma apresentação.,produtivo
Gostaria de agendar uma reunião.,produtivo
Existe previsão para instalar o software?,produtivo
Necessito atualização sobre o chamado em aberto.,produtivo
Preciso de suporte para instalar o software.,produtivo
O sistema apresentou falha de autenticação. Podem verificar?,produtivo
Ainda não recebi o contrato assinado. Podem enviar novamente?,produtivo
Podem revisar o comprovante de pagamento?,produtivo
Solicito resetar a senha referente ao cadastro de cliente.,produtivo
Podem revisar o contrato assinado?,produtivo
Existe previsão para atualizar o cadastro?,produtivo
Preciso de suporte para resetar a senha.,produtivo
Podem revisar a nota fiscal?,produtivo
Solicito revisar os relatórios referente ao chamado técnico.,produtivo
Favor confirmar se os arquivos foram recebidos.,produtivo
Ainda não recebi a nota fiscal. Podem enviar novamente?,produtivo
Gostaria de agendar um workshop.,produtivo
Ainda não recebi o comprovante de pagamento. Podem enviar novamente?,produtivo
Podem revisar o contrato assinado?,produtivo
Preciso de suporte para instalar o software.,produtivo
O sistema apresentou erro 500. Podem verificar?,produtivo
Necessito atualização sobre o chamado em aberto.,produtivo
Favor confirmar se o pagamento foi processado.,produtivo
Gostaria de agendar um treinamento.,produtivo
O sistema apresentou queda de conexão. Podem verificar?,produtivo
Gostaria de agendar uma reunião.,produtivo
Favor confirmar a data da reunião.,produtivo
Gostaria de agendar um workshop.,produtivo
Podem revisar a nota fiscal?,produtivo
Existe previsão para resetar a senha?,produtivo
Solicito instalar o software referente ao cadastro de cliente.,produtivo
Gostaria de agendar um treinamento.,produtivo
Podem revisar o comprovante de pagamento?,produtivo
Solicito atualizar o cadastro referente ao chamado técnico.,produtivo
Favor confirmar se os arquivos foram recebidos.,produtivo
Favor confirmar se os arquivos foram recebidos.,produtivo
Agradeço novamente por durante a atividade.,improdutivo
Parabéns pelo promoção recebida!,improdutivo
Parabéns pelo projeto entregue!,improdutivo
Foi um prazer participar do workshop de integração.,improdutivo
Agradeço novamente por no treinamento.,improdutivo
Agradeço novamente por na última entrega.,improdutivo
Agradeço novamente por no treinamento.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Foi um prazer participar do evento da empresa.,improdutivo
Agradeço novamente por no treinamento.,improdutivo
Feliz Natal!,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo muito sucesso em a atualização do sistema.,improdutivo
Foi ótimo estar com vocês no um treinamento.,improdutivo
Agradeço novamente por durante a atividade.,improdutivo
Obrigado pelo comprometimento.,improdutivo
Obrigado pelo trabalho realizado.,improdutivo
Muito obrigado por a explicação detalhada.,improdutivo
Desejo muito sucesso em a atualização do sistema.,improdutivo
Desejo muito sucesso em a integração com a API.,improdutivo
Desejo muito sucesso em a atualização do sistema.,improdutivo
Muito obrigado por a explicação detalhada.,improdutivo
Foi ótimo estar com vocês no um treinamento.,improdutivo
Muito obrigado por o suporte prestado.,improdutivo
Obrigado pelo comprometimento.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo muito sucesso em a integração com a API.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Parabéns pelo promoção recebida!,improdutivo
Desejo muito sucesso em o andamento do projeto.,improdutivo
Feliz Dia do Amigo!,improdutivo
Foi ótimo estar com vocês no um workshop.,improdutivo
Foi um prazer participar do reunião de equipe.,improdutivo
Foi um prazer participar do evento da empresa.,improdutivo
Desejo um ótimo um workshop a todos.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Foi ótimo estar com vocês no um workshop.,improdutivo
Foi ótimo estar com vocês no um treinamento.,improdutivo
Parabéns pelo promoção recebida!,improdutivo
Muito obrigado por o suporte prestado.,improdutivo
Foi um prazer participar do workshop de integração.,improdutivo
Desejo muito sucesso em a integração com a API.,improdutivo
Feliz Dia do Amigo!,improdutivo
Foi ótimo estar com vocês no um workshop.,improdutivo
Foi um prazer participar do workshop de integração.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Foi um prazer participar do reunião de equipe.,improdutivo
Muito obrigado por a orientação enviada.,improdutivo
Feliz aniversário!,improdutivo
Agradeço novamente por no treinamento.,improdutivo
Parabéns pelo nova certificação!,improdutivo
Muito obrigado por a explicação detalhada.,improdutivo
Muito obrigado por o suporte prestado.,improdutivo
Feliz Natal!,improdutivo
Foi um prazer participar do evento da empresa.,improdutivo
Obrigado pelo trabalho realizado.,improdutivo
Obrigado pelo dedicação.,improdutivo
Desejo um ótimo um treinamento a todos.,improdutivo
Feliz aniversário!,improdutivo
Parabéns pelo promoção recebida!,improdutivo
Obrigado pelo dedicação.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Foi um prazer participar do evento da empresa.,improdutivo
Foi um prazer participar do workshop de integração.,improdutivo
Agradeço novamente por durante a atividade.,improdutivo
Feliz Ano Novo!,improdutivo
Foi ótimo estar com vocês no uma reunião.,improdutivo
Desejo um ótimo uma apresentação a todos.,improdutivo
Foi um prazer participar do evento da empresa.,improdutivo
Desejo muito sucesso em o andamento do projeto.,improdutivo
Desejo um ótimo uma apresentação a todos.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo muito sucesso em a integração com a API.,improdutivo
Desejo boas festas e felicidades a todos.,improdutivo
Desejo um ótimo um treinamento a todos.,improdutivo
Obrigado pelo dedicação.,improdutivo
Muito obrigado por a explicação detalhada.,improdutivo
Muito obrigado por o suporte prestado.,improdutivo
"Preciso de suporte técnico urgente para resolver um problema crítico no servidor.",produtivo
"Podem verificar por que não consigo acessar o dashboard administrativo?",produtivo
"Solicito um orçamento para implementação do módulo de segurança.",produtivo
"Necessito de ajuda para configurar as permissões de usuário no sistema.",produtivo
"Quando posso esperar o retorno sobre minha solicitação de reembolso?",produtivo
"Podem explicar como funciona a nova funcionalidade de relatórios?",produtivo
"Preciso de assistência para migrar os dados para o novo servidor.",produtivo
"Gostaria de saber o prazo para correção do bug reportado na semana passada.",produtivo
"Podem disponibilizar a documentação técnica da API de integração?",produtivo
"Necessito autorização para acessar a base de dados de produção.",produtivo
"Favor providenciar as credenciais de acesso ao ambiente de teste.",produtivo
"Preciso de orientação sobre como proceder com a atualização do software.",produtivo
"Podem confirmar o recebimento do meu último e-mail com os anexos?",produtivo
"Solicito prioridade no atendimento deste chamado devido ao impacto no negócio.",produtivo
"Gostaria de agendar uma demonstração das novas funcionalidades.",produtivo
"Parabéns pelo aniversário! Muitas felicidades!",improdutivo
"Agradeço pelo café da manhã de confraternização.",improdutivo
"Foi inspirador participar da palestra sobre inovação.",improdutivo
"Que bom ver o time unido mesmo em tempos desafiadores.",improdutivo
"Apreciei muito a oportunidade de aprender com vocês.",improdutivo
"Adorei o cartão de Natal enviado pela empresa.",improdutivo
"Que momento especial foi a celebração de final de ano!",improdutivo
"Obrigado pelas palavras de incentivo durante o projeto.",improdutivo
"Foi maravilhoso conhecer melhor os colegas no retreat.",improdutivo
"Parabéns pelo sucesso do evento beneficente da empresa.",improdutivo
"Preciso do histórico completo de transações do último semestre.",produtivo
"Podem verificar a inconsistência nos valores do relatório de vendas?",produtivo
"Solicito a redefinição das permissões de acesso para o departamento financeiro.",produtivo
"Gostaria de saber o status da minha solicitação de férias.",produtivo
"Necessito do template atualizado para apresentação aos clientes.",produtivo
"Podem disponibilizar o manual de utilização do novo módulo?",produtivo
"Preciso de suporte para resolver o problema de sincronização de dados.",produtivo
"Quando será implementada a correção para a vulnerabilidade de segurança?",produtivo
"Solicito acesso ao repositório de código-fonte do projeto.",produtivo
"Podem elaborar um cronograma detalhado para a próxima fase do projeto?",produtivo
"Que alegria receber o reconhecimento pelo trabalho em equipe!",improdutivo
"Foi emocionante participar da formatura do programa de trainees.",improdutivo
"Agradeço pelo ambiente de trabalho tão acolhedor.",improdutivo
"Parabéns pela iniciativa sustentável da empresa!",improdutivo
"Foi revigorante participar da pausa para mindfulness.",improdutivo
"Adorei a nova decoração do espaço de convivência.",improdutivo
"Que honra fazer parte desta equipe tão dedicada!",improdutivo
"Obrigado pela flexibilidade durante o período de home office.",improdutivo
"Foi enriquecedor trocar experiências no almoço de integração.",improdutivo
"Parabéns pelos 5 anos de empresa! Uma trajetória incrível.",improdutivo
"Preciso do relatório de performance das campanhas do último mês.",produtivo
"Podem verificar por que o sistema está gerando notas fiscais incorretas?",produtivo
"Solicito a criação de um usuário com perfil de visualização para o estagiário.",produtivo
"Gostaria de agendar um teste de carga para o ambiente de homologação.",produtivo
"Necessito da planilha com a previsão de gastos do próximo trimestre.",produtivo
"Podem orientar sobre os procedimentos de backup dos dados?",produtivo
"Preciso de suporte para configurar a integração com o sistema de pagamentos.",produtivo
"Quando será disponibilizada a nova versão do aplicativo móvel?",produtivo
"Solicito a revisão do contrato de prestação de serviços.",produtivo
"Podem confirmar se a manutenção programada foi concluída com sucesso?",produtivo
"Que momento divertido no happy hour de sexta-feira!",improdutivo
"Agradeço pela oportunidade de participar do curso de desenvolvimento.",improdutivo
"Foi motivador ouvir os depoimentos no dia da diversidade.",improdutivo
"Parabéns pela conquista do prêmio de melhor lugar para trabalhar!",improdutivo
"Que delícia o bolo de aniversário surpresa!",improdutivo
"Obrigado pela paciência durante minha curva de aprendizado.",improdutivo
"Foi inspirador ver o comprometimento de todos com a causa social.",improdutivo
"Adorei a dinâmica de quebra-gelo na reunião de equipe.",improdutivo
"Que bom rever todos pessoalmente no retorno ao escritório!",improdutivo
"Parabéns pelo lançamento bem-sucedido do novo produto!",improdutivo